id,datasetName,scientificName,municipality,locality,county,stateProvince,country,verbatimLatitude,verbatimLongitude,verbatimElevation,habitat,comment,verbatimEventDate,eventDate,recordedBy,recordNumber,identifiedBy,dateIdentified,otherCatalogNumbers,associatedTaxa,,
cs_16625_1,"BOTANICAL MUSEUM, UNIVERSITY OF HELSINKI (H) and BRYOPHYTE HERBARIUM OF HUMBOLDT STATE UNIVERSITY (HSC)",Trachyloma indicum Mitt. var. teretirameum Miller & Manuel,,5 km SE of Lake Wamba (5 km S of Tep-tep Airstrip). In elfin forest approaching moss forest on saddle of ridge leading to top of Mt. Finisterre. (collection site no. 2u),,Morobe Prov.,Papua New Guinea,6º 03' S,146º 35' E,3000 m,"Moist, diffusely lit bark of tree","Expedition sponsored by University of Helsinki, Academy of Finland and Humboldt State University (Arcata, California) under the auspices of National Herbarium at Lae, Wau Ecology Institude and University of Papua New Guinea",24 July 1981,1981-07-24,Daniel H. Norris,64276,D. H. Norris,1982,,,,
cs_16625_15,,Vesicularia aperta,,Moorea. Near Belvedere.,,,French Polynesia,"17º 32' 30.9299"" S","149º 49' 34.6188"" W",1000 ft.,In stream. On rock. Full shade.,,20 May 1998,1998-05-20,Dennis P. Wall | Daniel Norris,765,,,,,,
cs_16625_22,"BOTANICAL MUSEUM, UNIVERSITY OF HELSINKI (H) and BRYOPHYTE HERBARIUM OF HUMBOLDT STATE UNIVERSITY (HSC)",Telaranea kogiana (Steph.) Grolle,,Frieda River prospecting area of Frieda Copper Co. Kokomo Creek 2.5 km W of Frieda Base Camp (helipad K 10). (collection site no. 6),,West Sepik Prov.,Papua New Guinea,4º 41' S,141º 46' E,550 m,"In tropical rainforest along stream, on trunk","Expedition sponsored by University of Helsinki, Academy of Finland and Humboldt State University (Arcata, California) under the auspices of National Herbarium at Lae, Wau Ecology Institude and University of Papua New Guinea",7 August 1981,1981-08-07,Timo Koponen,35732a,S. Piippo,1984,,,, 
cs_16625_23,BRYOPHYTES OF AUSTRALIA,Grimmia trichophylla Grev.,,"HAMILTON MUNICIPALITY. In Eucalyptus coccifera forest of shores of Lake Dobson, Mt. Field Natl. Park.",,TASMANIA,AUSTRALIA ,42º 42' S,146º 36'E,ca. 1000 M.,"On fairly moist, diffusely lit boulder. ",,17 November 1973,1973-11-17,D. H. Norris,27614,,,,Eucalyptus coccifera,,
cs_16625_25,Herbarium bryologicum Hjalmar Moller,Grimmia unicolor Hook,,Amal pa Sodra Trehornan i Vanern,,Dalsland,Sweden,,,,,,24.8.1919,2019-08-24,P. A. Larsson,,,,,,,
cs_16625_2,Plants of Sweden.,Brachythecium glareosum (Bruch) Br. um.,,"Brunflo, Änge",,Jämtland,Sweden,,,,,1042 Fay A. MacFayden Herb. no. 16618,5/7 1934,2034-05-07,Carl Stenholm,,,,,,,
cs_16625_3,National Nasionale HERBARIUM PRETORIA ,Bryum argenteum Hedw.,,"Beaufort West distr., farm Aardoorns",,Cape,,,,,Side of small watercourse,,1983.10.06,1983-10-06,Retief & Reid,102,SM Perold,1983,,,,
cs_16625_4,HERBIER PAUL CUYNET,Campylopus pyriformis (Schultz) Brid.,,"Bois des Mety, au bord diceu gentis, a tene",,,France,,,,au bord des semars √† terre.,= 684 bri,28 Septbre 1965,1965-09-28,,73,L. Hilliet,,,,,
cs_16625_5,Bryophytes of Australia,Ditrichum difficile (Dub.) Fleisch.,,"New Norfolk Municipality, near Jacques Creek near end of Styx River Road.",,Tasmania,Australia,42º48'S,146º36'E,,"On moist, diffusely lit soil of stump throw in very large Eucalyptus regnans forest in deep ravine",,5 December 1973,1973-12-05,D. H. Norris,29053,R. D. Seppelt,1978-09,,Eucalyptus regnans,,
cs_16625_6,BRYOPHYTES OF AUSTRALIA,Garovaglia powellii Mitt. ssp. muelleri (Hampe) During,,about 2 miles west of Paluma (Mt. Spec) on road to Paluma Dam (about 41 miles northwest of Townsville).,,Queensland,Australia,19 - 20ºS,146 - 147ºE,ca. 600 M,"Moist, rather shaded log. In eucalyptus forest with rainforest species in understory. ",,24 April 1974,1974-04-24,D. H. Norris,39509,,,,,,
