id,taxon,date,locality,coordinates,elevation,substrate
23341234,Cladonia rangiferina,7/14/21,"Glacier N.P., Montana","48.69N, 113.71W",~2100m,grnite bldr
8769,Placopsis gelida,May 3 2020,"Marin Headlnds, CA",,90m,
1234,Usnea longissima,09/22/19,"North Scott, VT","N47°47.1', W123°48.6'",850,conifer
5463,Lecanora sp.,6-11-22,"South Johnshire, ME",,,sandstone?
253456,Pertusaria amara,18 Apr 2023,Pisgah For.,,2783m,oak
2134,Rhizocarpon geograhicum,Aug 30 21,Mt. Katahdin,"45.9044°N, -68.9216°W",1500m?,alpine
3,Parmelia sulcata,1983-11-17,Columbia River area,"46.8283°N, -104.1184",300,tree trunk (maple)
3254245,Lobaria pulmonaria,March 15 22,GSMNP TN,,~950,
2345,Acarospora fuscata,7/27/23,Joshua Tree N.P.,"33.8734,-115.901",264m,slab (granite)
523411,Physcia adscendens,2017-07-14,chgo bot garden,,180,concrete
5602572,Pertusaria amara,2009-10-31,"Chelseatown, SD","45.7976°N, -94.9696°W",~2853m,tree trunk
3482608,Evernia prunastri,2003-08-09,"New Michaelfurt, NH","36.6854°N, -123.2102°W",?2985m,
7614814,Rhizocarpon geographicum,13 Jan 1970,"North Eric, PA",,?2627m,
2568060,Peltigera aphthosa,1970-03-03,"Simonshire, IL",,~1877m,granite
6508316,Caloplaca citrina,August 31 91,"Lake Georgeport, VT","56.3186N, -93.169W",2311m,granite
851806,Caloplaca citrina,September 10 76,"Jacobside, VT","58.9639°N, -88.3562°W",?2397m,soil
7686358,Peltigera aphthosa,2021.03.10,"Christianchester, DC","30.4208, -80.5027W",~1857m,rock
976843,Physconia distorta,1984-01-22,"Huntburgh, KY","47.3142, -79.4056",~2827m,soil
6092483,Flavoparmelia caperata,06/29/78,"Hallton, MN","39.9903°N, -71.0565W",~688m,soil
1679849,Nephroma arcticum,27 May 2014,"Port Andrew, AL","59.2699N, -81.558",~566m,rock
7629251,Parmelia sulcata,2015.03.18,"West Theresa, AR","45.5056°N, -83.6316",?1051m,soil
8076820,Lepraria incana,2022-02-21,"Greenborough, ID",,?1010m,
4411262,Vulpicida pinastri,June 25 24,"Armstrongton, ND","45.2409N, -106.0077W",1245m,granite
5159511,Buellia aethalea,2000.08.22,"Jeffreyburgh, LA","40.1399N, -110.8341°W",~907m,granite
1634553,Buellia aethalea,1971-04-02,"Jenningsbury, MO",,~986m,soil
3043665,Parmelia sulcata,1993-03-29,"Lisamouth, GA","38.333, -101.9662",?2330m,
1502819,Acarospora fuscata,1981-10-23,"Lake Mary, KS","36.5567N, -105.8536°W",?2892m,tree trunk
9932865,Umbilicaria mammulata,1996-07-18,"Lake Dawn, GA","36.0661N, -72.2584°W",~1163m,soil
6447535,Peltigera aphthosa,1982-01-04,"Gonzalesside, SD","47.7889, -73.9745",2888m,concrete
3476092,Flavoparmelia caperata,1978-10-30,"Lawrencebury, AL","55.2426N, -121.8102W",2650m,
