id,verbatim_scientific_name,verbatim_scientific_name_qualifier,verbatim_institution_name,verbatim_institution_number,verbatim_identified_by,verbatim_identified_date,verbatim_collected_by,additional_collected_by,record_number,verbatim_event_date,verbatim_habitat,verbatim_substrate,verbatim_associated_taxa,decimal_latitude,decimal_longitude,verbatim_country,verbatim_state,verbatim_county,verbatim_municipality,verbatim_locality,verbatim_coordinates,verbatim_datum,verbatim_elevation
2928584,Arthonia palmulacea,,FLAS,FLAS L4064,,,Rick Demmer,,01170023,14-Mar-05,in mangrove/ buttonwood community,,,28.069003,-82.832812,United States,Florida,Pinellas,,"Honeymoon Island State Park, west side of the island","17R 319891E, 3106202N",,
1696256,Arthonia palmulacea,,HAW,HAW-L-0000075,C. W. Smith,,C.W. Smith,,8377,,,,,,,United States,Florida,,,,,,
1696257,Arthonia palmulacea,,HAW,HAW-L-0000076,C. W. Smith,,C.W. Smith,,8377,,,,,,,United States,Florida,,,,,,
1696258,Arthonia palmulacea,,HAW,HAW-L-0000077,C. W. Smith,,C.W. Smith,,8377,,,,,,,United States,Florida,,,,,,
878491,Arthotheliopsis planicarpa,,NY,1151364,J. C. Lendemer,2010,J. C. Lendemer,,21104,18-Dec-09,Oak scrub on white sand dune,,,31.8579,-82.0589,United States of America,Georgia,Tattnall Co.,,"Big Hammock Natural Area, ~1 mi E of jct of CR 441 & GA 121/144/169",,,
878490,Arthotheliopsis planicarpa,,NY,1150346,J. C. Lendemer,2010,J. C. Lendemer,,21373,20-Dec-09,sandhill community with oak scrub and mixed hardwoods,,,31.85761,-82.05894,United States of America,Georgia,Tattnall Co.,,"Big Hammock Natural Area, blue and yellow trails, ~1 mi E of jct of CR 441 & GA 121/144/169",,,
1526470,Aspidothelium fugiens,,LSU,LSU00128829,,,J. M. Thomson,,s.n.,9/5/54,,On needle palm leaves.,,29.180808,-81.712988,United States,Florida,Marion,Ocala National Forest,"Juniper Springs, Ocala National Forest.",,WGS84,
4928961,Asterothyrium decipiens,,AUA,AUA-L-0003028,,,"Lendemer, James C.",,,3/29/17,"On Persea leaves. Bottomland mixed hardwood (Acer, Ilex opaca, Quercus, Liquidambar, Magnolia virginiana, Liriodendron, Prunus), pine (Pinus echinata, P. taeda) forest",,,32.8714,-87.2269,United States,Alabama,Bibb,,"Talladega National Forest, Cave Mountain Branch of Blue Girth Creek, E of FSR743 ~0.5 mi S of CR80/Peach Orchard Rd., W of Cave Mountain","32.8714000000, -87.2269000000",,330 ft
3421744,Asterothyrium decipiens,,COLO,COLO-L-0053053,J. C. Lendemer,2017,James C. Lendemer,,50596,29-Mar-17,"Bottomland mixed hardwood (Acer, Ilex opaca, Quercus, Liquidambar, Magnolia virginiana, Liriodendron, Prunus) - pine (Pinus echinata, P. taeda) forest.",On Persea leaves.,"Bottomland mixed hardwood (Acer, Ilex opaca, Quercus, Liquidambar, Magnolia virginiana, Liriodendron, Prunus) - pine (Pinus echinata, P. taeda) forest.",32.8714,-87.2269,United States,Alabama,Bibb,,"Talladega National Forest, Cave Mountain Branch of Blue Girth Creek, E of FSR743 ~0.5 mi S of CR80/Peach Orchard Rd., W of Cave Mountain.",,,330 ft
1831571,Asterothyrium decipiens,,COLO,COLO-L-0050291,E. Tripp,,Erin Tripp,Tuckerman Workshop Participants,4794,23-Mar-10,"Oak (Quercus virginiana, Q. illicifolia) - Pinus scrub with Ilex vomitoria, Myrica, Persea, and Sabal minor",foliicolous on Persea leaves,,35.248611,-75.544167,United States,North Carolina,Dare,,"Cape Hatteras National Seashore, trail from World War II Memorial, 0.5 mi. W of Lighthouse Rd.","35� 14' 55""N, 75� 32' 39""W",,10 ft.
3579761,Asterothyrium decipiens,,KANU,408868,Erin A Tripp,,Erin A Tripp,,4794,3/23/10,"Oak (Quercus virginiana, Quercus illicifolia) - Pinus scrub with Ilex vomitoria, Myrica, Persea and Sabal minor.",,,35.2486111,-75.5441667,United States,North Carolina,Dare,,"Cape Hatteras National Seashore: trail from World War II Memorial, 0.5 mi W of Lighthouse Rd",,unknown,10 ft
